OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
VANGUARD 1,1958-002B,2022-12-14T13:15:57.257856,10.85041959,.1845579,34.2478,304.3724,128.2681,249.8822,0,U,5,999,30420,.15109E-3,.11E-5,0
VANGUARD 2,1959-001A,2022-12-14T18:25:37.401600,11.86258647,.1464283,32.8680,236.4512,352.2625,5.7476,0,U,11,999,38307,.56371E-3,.1058E-4,0
VANGUARD R/B,1959-001B,2022-12-14T19:48:36.369216,11.44772727,.1662541,32.9035,44.8324,183.6009,175.1094,0,U,12,999,38429,.43961E-3,.761E-5,0
VANGUARD R/B,1958-002A,2022-12-14T20:55:38.087904,10.48810716,.2027407,34.2665,45.6162,116.7723,265.4225,0,U,16,999,55442,-.95556E-4,-.83E-6,0
VANGUARD 3,1959-007A,2022-12-14T20:20:22.284096,11.56418843,.1661622,33.3378,177.4009,58.1025,317.0567,0,U,20,999,33597,.50561E-3,.1209E-4,0
EXPLORER 7,1959-009A,2022-12-14T18:51:05.160960,14.98225707,.0132021,50.2802,144.7012,142.1067,218.9263,0,U,22,999,60665,.47488E-3,.6533E-4,0
TIROS 1,1960-002B,2022-12-14T16:19:14.331072,14.74860283,.0023704,48.3805,331.9539,168.8101,191.3343,0,U,29,999,35286,.10614E-3,.513E-5,0
TRANSIT 2A,1960-007A,2022-12-14T16:38:41.052480,14.33974434,.0253334,66.6930,141.8617,11.3632,349.3039,0,U,45,999,19632,.55375E-4,.114E-5,0
SOLRAD 1 (GREB),1960-007B,2022-12-14T16:46:40.406592,14.49962750,.0207858,66.6899,106.1726,174.4362,185.9130,0,U,46,999,27103,.32975E-3,.1573E-4,0
THOR ABLESTAR R/B,1960-007C,2022-12-14T11:14:09.818880,14.42516554,.0227239,66.6655,241.2592,355.5379,4.3693,0,U,47,999,26634,.15866E-3,.607E-5,0
DELTA 1 R/B,1960-009B,2022-12-14T19:56:38.595264,12.20125224,.0113686,47.2275,175.7469,158.7287,201.8281,0,U,50,999,78137,.37431E-3,-.46E-6,0
ECHO 1 DEB [METAL OBJ],1960-009C,2022-12-14T13:39:15.667776,12.18286246,.0106062,47.2149,51.7421,347.9500,11.8757,0,U,51,999,77504,.84591E-3,.2E-7,0
ECHO 1 DEB [METAL OBJ],1960-009E,2022-12-15T08:44:42.700704,12.17285770,.0100559,47.2789,329.8130,253.7461,105.2245,0,U,53,999,77952,.20029E-4,-.82E-6,0
COURIER 1B,1960-013A,2022-12-14T18:10:10.969824,13.46341392,.0164928,28.3249,156.3770,45.7960,315.6006,0,U,58,999,6137,.12836E-4,.91E-6,0
THOR ABLESTAR R/B,1960-013B,2022-12-14T19:22:07.669344,13.53010987,.0189036,28.2470,221.8324,7.1639,353.1552,0,U,59,999,6962,.43356E-4,.118E-5,0
SCOUT X-1 R/B,1961-004B,2022-12-14T17:20:10.049856,12.26054602,.1168357,38.8550,68.0488,156.4636,209.4255,0,U,82,999,91953,.14701E-3,.13E-5,0
SCOUT X-1 DEB,1961-004C,2022-12-15T04:28:14.675808,14.29188828,.0364616,38.7666,33.5665,116.6991,247.1562,0,U,85,999,6089,.14831E-2,.7783E-4,0
EXPLORER 11,1961-013A,2022-12-14T11:12:10.674144,14.10726181,.0539508,28.7876,77.4568,150.3778,212.8504,0,U,107,999,9428,.40253E-3,.3156E-4,0
THOR ABLE DEB [YO],1960-002D,2022-12-14T08:34:52.501440,14.85002852,.0034004,48.1641,216.0435,300.9868,58.7707,0,U,115,999,32695,.20828E-3,.1586E-4,0
TRANSIT 4A,1961-015A,2022-12-14T20:35:28.001472,13.91862732,.0069073,66.8081,142.5064,90.9324,269.9671,0,U,116,999,11849,.77937E-4,.25E-6,0
SOLRAD 3 & INJUN 1,1961-015B,2022-12-14T11:00:01.782144,13.89912768,.0071698,66.8125,246.7173,115.7503,245.0998,0,U,117,999,11649,.56577E-4,-.5E-7,0
THOR ABLESTAR R/B,1961-015C,2022-12-14T18:56:10.705056,14.01846194,.0075978,66.7649,12.2335,93.7565,267.2211,0,U,118,999,13661,.93779E-4,.67E-6,0
THOR ABLESTAR DEB,1961-015D,2022-12-15T06:59:26.260224,14.23839214,.0098993,66.7282,109.0392,108.0910,253.0999,0,U,119,999,17632,.35568E-3,.774E-5,0
THOR ABLESTAR DEB,1961-015E,2022-12-14T21:20:23.418816,14.25971805,.0120065,66.7047,168.6129,212.6082,146.7561,0,U,120,999,16599,.28531E-3,.65E-5,0
THOR ABLESTAR DEB,1961-015F,2022-12-14T17:14:14.933760,13.99776463,.0093676,66.7481,343.4207,183.6668,176.3740,0,U,121,999,14712,.48322E-4,-.5E-7,0
